PERIF,KOMMA,PSIFOI2023,PSIFOI2019
Δράμας,ΑΚΥΡΑ,1002,-
Δράμας,ΛΕΥΚΑ,306,-
Δράμας,ΕΓΚΥΡΑ,58676,-
Δράμας,ΣΥΜΜΕΤΟΧΗ,59984,-
Καβάλας,ΝΔ,34286,32737
Καβάλας,ΣΥΡΙΖΑ-ΠΣ,12690,20159
Καβάλας,ΠΑΣΟΚ-Κίνημα Αλλαγής,8897,6526
Καβάλας,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,4215,4506
Καβάλας,ΚΚΕ,4173,3219
Καβάλας,ΝΙΚΗ,3436,0
Καβάλας,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,2024,1220
Καβάλας,ΜέΡΑ25,1910,2408
Καβάλας,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,1194,0
Καβάλας,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,843,0
Καβάλας,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,724,737
Καβάλας,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,705,0
Καβάλας,Κίνημα 21,527,0
Καβάλας,Τ.ΟΛ.ΜΑ,504,0
Καβάλας,ΕΛΛΗΝΩΝ ΣΥΝΕΛΕΥΣΙΣ,408,442
Καβάλας,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,353,0
Καβάλας,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,346,1319
Καβάλας,ΕΑΝ...,239,0
Καβάλας,ΑΝΤ.ΑΡ.ΣΥ.Α.,229,159
Καβάλας,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,229,0
Καβάλας,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,200,0
Καβάλας,ΚΚΕ (μ-λ),117,60
Καβάλας,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ,115,0
Καβάλας,ΚΟΙΝΩΝΙΑ ΑΞΙΩΝ - ΦΙΛΕΛΕΥΘΕΡΗ ΣΥΜΜΑΧΙΑ,88,0
Καβάλας,Μ-Λ ΚΚΕ,49,34
Καβάλας,Ο.Κ.Δ.Ε.,34,24
Καβάλας,ΟΑΚΚΕ,10,0
Καβάλας,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,0,0
Καβάλας,ΕΛΛΗΝΙΚΟ ΟΡΑΜΑ,0,0
Καβάλας,ΝΕΑ ΔΟΜΗ,0,0
Καβάλας,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,0,0
Καβάλας,Κ.Ο.Τ.Ε.Σ.,0,0
Καβάλας,Δημοσθένης Βεργής ΕΛΛΗΝΕΣ ΟΙΚΟΛΟΓΟΙ,0,0
Καβάλας,SOCIAL,0,0
Καβάλας,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,0,0
Καβάλας,Ανεξάρτητοι,0,0
Καβάλας,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,142369,-
Καβάλας,ΑΚΥΡΑ,1596,-
Καβάλας,ΛΕΥΚΑ,484,-
Καβάλας,ΕΓΚΥΡΑ,78543,-
Καβάλας,ΣΥΜΜΕΤΟΧΗ,80624,-
Α' Θεσσαλονίκης,ΝΔ,112971,107429
Α' Θεσσαλονίκης,ΣΥΡΙΖΑ-ΠΣ,65181,94693
Α' Θεσσαλονίκης,ΕΛΛΗΝΙΚΗ ΛΥΣΗ,27629,16289
Α' Θεσσαλονίκης,ΠΑΣΟΚ-Κίνημα Αλλαγής,26270,18313
Α' Θεσσαλονίκης,ΚΚΕ,24607,16037
Α' Θεσσαλονίκης,ΝΙΚΗ,15145,0
Α' Θεσσαλονίκης,ΠΛΕΥΣΗ ΕΛΕΥΘΕΡΙΑΣ-ΖΩΗ ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ,14969,6613
Α' Θεσσαλονίκης,ΜέΡΑ25,10995,14410
Α' Θεσσαλονίκης,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,4782,4241
Α' Θεσσαλονίκης,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,3667,0
Α' Θεσσαλονίκης,Οικολόγοι ΠΡΑΣΙΝΟΙ - ΠΡΑΣΙΝΗ  ΕΝΟΤΗΤΑ,3031,0
Α' Θεσσαλονίκης,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,2885,0
Α' Θεσσαλονίκης,ΕΝΩΣΗ ΚΕΝΤΡΩΩΝ,2434,6936
Α' Θεσσαλονίκης,ΑΝΤ.ΑΡ.ΣΥ.Α.,1850,1316
Α' Θεσσαλονίκης,Κίνημα 21,1820,0
Α' Θεσσαλονίκης,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,1392,0
