2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,niki,1745
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,pleusi,1208
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,mera25,896
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA150,662
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,pat_syn,273
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,latinop,215
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,oikologoi_prasinoi,209
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,pnoi_dimokratias,194
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,kkeml,193
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA155,140
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,enosi_kentroon,138
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,antarsya,109
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,elsyn,80
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,mlkkke,76
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA78,37
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,oakke,30
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,okde,21
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,vergis,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA65,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,kinimaftoxon,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA151,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA152,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA156,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,NA159,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,anex/memon,0
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,LEFKA,402
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,AKYRA,555
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,GRMAMMENOI,120851
2023June,DISTRICT,Ξάνθης,DISTRICT,Ξάνθης,EGYRA,55236
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,syriza,18354
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,nd,15778
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,pasok,10380
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,ellinikiLysi,2259
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,kke,1725
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,spartiates,1649
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,niki,1444
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,mera25,769
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,pleusi,731
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,pat_syn,231
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,latinop,190
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,kkeml,132
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,elsyn,129
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,oikologoi_prasinoi,127
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA150,126
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,antarsya,120
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA155,111
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,enosi_kentroon,108
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,pnoi_dimokratias,103
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA78,65
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,mlkkke,40
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,oakke,27
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,okde,25
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,vergis,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA65,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,kinimaftoxon,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA151,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA152,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA156,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,NA159,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,anex/memon,0
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,LEFKA,497
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,AKYRA,510
2023June,DISTRICT,Ροδόπης,DISTRICT,Ροδόπης,GRMAMMENOI,118481
